Rank,Title,Year,Est Cost (inmillions)
1,Pirates of the Caribbean: On Stranger Tides,2011,$456
2,Avengers: Age of Ultron,2015,$417
3,Pirates of the Caribbean: At World's End,2007,$392
4,Avengers: Endgame,2019,$377
5,Avengers: Infinity War,2018,$351
6,Avatar: The Way of Water,2022,$350
7,Titanic,1997,$338
8,Spider-Man 3,2007,$337
9,Justice League,2017,$332
10,Tangled,2010,$323
11,Harry Potter and the Half-Blood Prince,2009,$316
12,John Carter,2012,$311
13,Waterworld,1995,$306
14,Pirates of the Caribbean: Dead Man's Chest,2006,$302
15,Avatar,2009,$299
16,Batman v Superman: Dawn of Justice,2016,$297
17,Solo: A Star Wars Story,2018,$297
18,Star Wars: The Force Awakens,2015,$296
19,Star Wars: The Rise of Skywalker,2019,$291
20,Star Wars: The Last Jedi,2017,$290
21,King Kong,2005,$287
22,Spider-Man 2,2004,$287
23,Furious 7,2015,$286
24,The Chronicles of Narnia: Prince Caspian,2008,$283
25,X-Men: The Last Stand,2006,$282
26,Beauty and the Beast,2017,$282
27,Spectre,2015,$280
28,Wild Wild West,1999,$277
29,The Fate of the Furious,2017,$276
30,The Lion King,2019,$276
